labels,tweets
1,alan partridge said wing alright band beatles could ing loud play rickenbacker bass lovely
1,also wondering trying next size perfect obviously size jean better
1,talking cloche make look pixielike normal
1,goodnight twitter love gettin ready right goodbless everybody
1,white hair ing loud know
1,live right hand corner need three
1,ready thompson alright coming ready
1,want join time wink rehearsal
0,kinda fuckin confused much qoin little krazy
0,hour want wait prayer sleep unsure want food food
0,totally anythingg work soon cannot enjoy sunn gutted
1,nearly morning leaving epoch
0,need everyone start praying good weather wedding
1,retweet reminds woody alen short outoffocus actor
1,eating rice tofu chicken
1,getting ready work ready really think paid
0,pissed could experience could talk trash random lakers street
1,felted last going felt ready
1,nice place paulo brazil
0,diaryland lame cannot update journal
1,night twitter verse sweet dream good daylight hour
0,even want sell foot grew size
1,best city well orlando florida course
1,okey good girl forget keep updated back well enjoy alright ativan induced awaits
1,session executive briefing center record pace
0,cruise boat nervous want room already people
0,hungryy hungryy dined cream
1,thing alright finally looking
0,nope parking video sound frustrated usually patient
0,trying enter lost conection want rock alright talented rock
0,would help know would break july going crazy busy
1,guinea fowl heard people dislike fowl ing loud
0,james returned soton english essay write work tonight
0,sister always tell shut poke really hard hurt scared
0,think stephenie meyer closed myspace look like also closed twitter
1,well said twitter chatting others keeping touch thing others
0,killer headache behind right eyeball ouch cannot even enjoy
1,remembered friend last night funny rachel horny bitch alright horny bitch alright horny bitch funny
0,jealous never time feel like
0,smell wonderful probably spicy though
0,disappointed really wanted audition cannot angry
1,thanks follower appreciate every single thanks
1,nothing love like homemade mother card
1,steph might come ing loud
0,havn watched video tear
0,looking forward pudding dairy milk house rice milk turn pudding soupy mess
0,conan pretty good beautiful take getting used without
0,chadd phone dead realized talk youon twitter computer smiled hella realized
0,cannot wait till kiss father daughter dance tear
0,received news friend father passed away suddenly morning
1,stomach ailment hearty vegan appetite shot thing hangover ready definetaly worth
0,doubt dude everything look really genuine david elli fucking backflips ing loud
1,nighty night dear sweet dream
1,donno english surf know google uncle always help hindi gujrati option away
1,started reading alright book truth diamond entertaining read
0,trying listen music cheer iphone want play music relate shit depressing
0,seem beat need energy headaache throat
0,still confused start month
1,jesus need come shatt wink ready soliliqy however spell
1,wish weather nicer ready listening hush hush pussycat doll good song
0,hard moving service moving different complex check status online cannot find
1,need send email contact check email unlimited
0,well block street morning frustrating
0,told look bunch great aunt
0,wwoohh feeling good school anymore
0,would rather watch movie stupid homework
1,cool black bunny hope liked picture pebble black
1,herro good morning going school text running school chink shape
1,cool listening song right
1,soon hand scanner alright least people prepared back back quite year
1,okey really going sleep ing loud wink reality absolutely night
1,contest twist alright ready hunt next tweet answer correctly could excited baby
1,goodnight sweet dream kiss
1,beautiful give needed makeup girl always look best
0,ready supposed well work approx minute
0,share mine full cold
1,cast alright care love always
1,michael biggest perhaps youngest year neice amelia love dinozzo
1,great plumper dior maximizer vanilla minty smell taste hope helped
1,road maybe listening jonas brother make faster hope
0,negatory well eagerly await publication said photo
0,step granny busy getting ready away renal failure miss family
1,well cannot specific coffee give alright
0,checking unexpected bill suck
1,good demanded paolo nutini come others find
1,lunch tokyo aunt uncle
1,sound lovely complain away give creepy lady never sending
0,woke thinking saturday sigh roll tomorrow emily birthday weekend
0,hope shave soon never beard cannot wait season though
0,damn missed celebration tweet
0,anotheare information black area decided make difficult alright work spelling enough make
0,thanks hate much cannot even pill depresses know
0,good hear time weekend working though
1,going home hell ready school ball probably turn night hell
0,ing loud thanks confuzzling alright message brother episode reminds late night deen
0,miss like idea akes really actually
0,official sackboy cuddly alright better niece living brother roddy sackboy
1,loving wedding giving load idea
0,knew ideabut still dumbass
1,worked hour overtime mowed pasture back yard sheep ready house trashed
1,watchin suite life deck hanging vanessa ready
0,bummed work ready cannot stay home reading
0,diabetes test toilet middle waiting room everyone going
1,come dine said fitty ing loud
1,sunnshine outside breakfast garden chatting neighbour nice slsa work check
1,anywhoo going later everyone
1,wrong person sorry woke unless actually want anytime anywhere anyplace printer
1,like augmented reality island would like real island tonga
0,read decline thought would give nest hope late
1,love album favourite breakout
1,hubby gone week cleaning organizing gardening begin
0,damn rain flag tomorrow
1,going course work chill real cpody rhpdes please follow
1,people also wait till midnight read alright tweet response
1,terminus gift last year
1,rihanna umbrella still good jonas brother cannot wait till november
1,alright probably hyped meeting jonas
0,gutted tonight brother result okey cairon cunt funny siovash
0,alright exam date goodluck heard york
1,great question tried shut
1,alright saturday tweepers great catch monday
0,worry char spirit going miss
0,please version stomping ground come mastering screwed trying sort
1,framed roger rabbit good morning
0,goodnight hoping better tomorrow customer ruthless tomorrow show better early
0,seem work anymore awesome tool
0,past period elderly place stupid needed sign next learning place hospital
0,sunburn like make hate head trade ability instead burn
1,break work mooring already heard classic papa roach enjoying budvar massively good time
1,truthfully think liked tourgasm better though alright gorgeous
1,still look better nigga ing loud right shyt
1,giving finger break feel accomplished really anything easy chord leaf angry song
0,brother swine feel going
0,found cannot watch mmvas isad sleeping early practice happy father
0,wait extra slow charging macbook cell need wall electricity juice boll
0,working fiddled setting multiple time nothing overall expecting bigger improvement
1,ironically usually watch around tired watching alien fall asleep alien often
1,ing loud really kill follow first follow back omgs must block
0,missing family everyone singapore much wrong suddenly homesick
1,okey goner chill enjoy
0,alright trading scooby soon
1,paula alright good convo give mani pedi
1,longest chat madness lovely must great chattin block party
1,good would hope watch already
0,almost done college work year
0,know watching feed still time
0,feel completely terrible going week without seeing talking alan
1,graduated early brother baseball game whattheheck nice first summer waking alarm
1,refused free ticket girl aloud afraid might jump stage slap derry
0,spam filter gmail working
0,going sleep gotta early tomorrow
0,year friendship discover people alright life hateful feeling towards simply alright
1,love background finally stuck work
0,rain hope otherwise pretty sure would selfcombust
1,regional affilate vodafone called apologetic yesterday treatment customer care could asked waiver
0,phillips damn ing loud
0,think term think term think term love
0,soalnyah makin lama making sick
0,transformer audience review suck
1,playing guitar hero even flow
1,clean shaven looking touch might burned
1,thanks look like party first glance thought bday noise maker thing
0,much beef steak thing
1,vicky sunshine frankmusik friday happy bunny
1,watchin estelle concert northwestern
1,thanks lavender butterscotch alright best friend incredibly loyal
0,hope still attend department welcome assembly last class
0,huer went sleep left alone anyway still love
0,sound good shame wait till september well army wife catch
0,leave monday afternoon trying stay busy
0,hospital twin okey starz alright love
1,already apparently without even trying pressure
0,hungry lazy make food lazy drive food
1,fuck alright pizza jesus
1,great love posted alright nimoy love spoock
1,okey direct message info
0,great shopping wait really sound like miss guitar like
1,girl represent htown shoutout texas general reside anton
0,people cold shower alright penile friendly
1,enjoy alright walk anything like perfect little barefoot really feel alive
0,hubby thing leaf tomorrow spain till late wednesday thursday morning time apart
0,pero still thinking gusto bumalik pero depends
0,pity borrow wheelchair something
0,would love come person live east coast
0,cannot sleep busy coughing
1,thanks good turn tonight
0,bluh blob going work ready going read book water bottle moan pain
1,girl alright shout awesome girl
1,vacation feel weird happy
1,gave everything away love song also love jonas
1,repairing disc permission taking time early lynch even lunch
1,great show love killer back still resting ready mood good fruathon
0,thanks wish thing would chill work really suck
0,heart burn thought said symptom tweet forgot asked okey first ing loud shaking head
1,enjoying ready daughter back school hubby work housework done
0,morning confused nice shining entire night really tooth ache brace well tweet
1,close picture cooky alright like girl myspace close face sucka ing loud
1,found nonworking preference quicksilver alright general catalog trigger still work like charm
0,buster could please somewhere else remember elliott miss
1,alright june bdays alright coming
1,garlic hate banana find food flown caribbean cheaper potato
0,lonely bored friday night aswell
1,nope town live beeton funnyguys work always know dick hertz beeton
1,first iced carmel macchiato starbucks year ready enjoy class outside garden
0,break never tired life
1,perfect time brand album line vine trying time tonight midnight love
1,great weekend even managed swimming freezing ocean portrush bank holiday alright made
1,nice think need evidence make good decision
0,first time beach sound stressing
1,heading senci dinner watch muvee cousin thinkin present bday monday
1,fantastic photo alright hand alright remind peter
0,seem like nobody haiz missed
0,sent bazaar shop cannot avoid
0,cheifing gave stuffy nose
0,watching commercial cheer logo almost done week
0,think hour awake insomina stink
0,currently watching past andy queue sainsbury
0,gerard like know another chemical romacne
1,never said thankyou thanks
0,also easily defeated moving keychain done ramdisk disk even easier
1,almost done internship week relaxing rest afternoon
0,woke look like another vega
1,girlfriend said anything hungry friend since year
1,follower twitter apparently sheep
0,lunch time back work
1,sound like using alright room common problem
1,really like layout simplicity awesome
1,definitely fall article much information ironically interest
0,cramp whilst trying utter bitch
1,excited trip next weekend wait remedy drive
0,sorry hope feel better
1,feel always touch throught alright friend
0,ing loud tried style wrong ing loud take dowb quickness
0,jogging really cool especially fever
1,cannot sleep excited italy later ready check info pray sleep
1,ready sermon life test faith true pressure good first always
1,danny alright going awesome excited watch show
1,thanks supernatural coverage genre show gaining viewer prop
0,wish alliance good strand ancient
0,hope alright okey singer
0,watching anything paris sunset amelie dysfunctional paris want paris avec cafe
0,another wedding time back work
1,well worry live near unless alright black cloud course
0,mexican street live ranchero band hear tuba alternating bassline hate people sometimes
1,best niece nephew world another
0,tired alright watery happen
0,love italy sorry however miss mexican food
1,nothing help watch stephenish thing healing power know
0,watching brother swim really ball disappointed hear peed ball
1,okey long still coming happy
0,feel depressed could save thanks nothing
0,hate getting watch slumdog early wait actual coming
0,fucking missed disappear cried
1,dare tell shut fuck logan wait alright sleepin shure
0,mitchel musso sending anymore tweet
0,everyone blip please give prop
1,baby year ready time
0,wish cannot make really bummed cannot turn work came need catch
1,june uruguay brasil looking forward vamos celeste
0,kinda want fone know ever replace blackberry nowits time sleep
1,harajuku extreme matsuri good harajuku kind extreme time
1,akak happen online alot buddy fitness weigh loss update alot
0,suddenly expel thomas fiss story possible cannot consider
1,completey agree want bath much better normal bath ing loud
0,finished series wire feel mourning prospect
0,make thomas miss already
0,sweetie hope feel better soon sick
1,remove thine hence thou slub bering codpiece sniffing giglet
1,sunday mean school tomo wait second
0,especially sunday night want curl watch huge pile clothes
0,long night else going smelling shit work weekend ing loud except sunday ing loud
1,clean house happy amber oakland beginning feel like home
1,think find ganvaar nahi rahegi yahaan tweetistan mein gyaan baatte sabko kuch milta
1,dammit stop interfering crotchety pedantic streak also hate fuck filesets
0,hifimeet extremely interesting enlighting
0,giving twitter gone background gone hopeless come technology
1,susan fantastic hollie aidan want
0,cheer cheer cheer cheer cheer
1,tokyo seems interested squirrel cute
0,passed chemistry mind numbing lecture dreading result
0,looking forward going back work
0,hope alright okey hugglesxx
0,saturday night live funny
0,free yearbook feel disappointed missing real class
1,thinking getting xbox guess going
1,everyone mistake make lesson learn negativity
0,aggie innovention contest design process class intriguing wish could taken class
1,drama stress around nothing worth sharing better move along nothing know mean
0,poor spike face buffy uninvites house everytime look hurt
0,uncaught exception testing uploading twitpic wifi conection setting
0,cutest tonight girlfriend give shirt though right back
0,chilln juss realized socialize hater mine shaking head disappointing
0,finally sitting computer night worth work yard sale domestication kept busy really behind
1,alright mailman love hate
0,veronica syncing sure sound like
0,sold beautiful beautiful longboard boohoo
0,missing tony already gone long sleep night away
1,trying done back hols good chapter seems
0,morning still cannot sleep
1,remind tell joke woman mowing lawn sometime
1,said andy hair slicked back ponytail gave idea made earned
1,remarkables queenstown word street snow awesome coronet peak ready
1,need raise money total lawndale city giver
0,school swedish class hoped would
1,going clean room going later
1,good really reply would cheer love
0,love song eating strawberry
1,worry everything going alright well least know true friend alright
0,angry damn lazy homework realised spiderman lefthanded slow straight face
1,alright killing hungry calling
1,good morning woke alright voice morning tweet
1,well thanks cuppa hand little time leave work alright
1,time photo definetaly bread dark possibly brown sugar texture gingercake
1,hungry going floss breadtalk plus iced
1,nice love grape hyacinth beautiful work
1,listening toot maytals must like ready
1,cannot wait want seventeen argentina thousand poster jobros straight face hyper
0,time loved someone else trying forget
0,feeling hoping everyone voting tomorrow local election
1,yikes know good sleep hope alright able wind quality wink
1,watched alright aholes girl
0,eating much camping home going start tredmilling
1,really like alright version apologize gudluck alright career
0,shrmp cold avocado salsa chile wine sauce rsted chile cheese grit team elim packed knife
0,would probably stick though since never heard forgive durden
0,nice paintball sale pity really need
1,already love adam lazzara
1,great time last night dear fuck foice dreamed octapuse
0,june excited time computer
0,need another vacay already
0,near sunday would also courageous take
0,chris farley special still hilarious also still
1,alright funny really like even alright
0,look like happened ready sorry think stayed seattle
0,used opera exclusively many year switched wont switching back sorry
1,time think game tomorrow horray
0,wish going alright still going awesome high school annie
0,bastard weather soaking freezing cold
1,getting ready rehearsal listening king
0,wonder life would best friend forever
1,maybe pool green belt jamie around three sarah sorta friend jake call
1,long school doin picasso project flippin interesting
0,insane feel like temperature degree different month february actual temp humidity
1,good know buddy good know csad alright
0,miley follow please please really want talk wrote message myspace never answered
1,painting whole main level need coat trim install crown moulding
0,front almost center fantasmic sweet churros
0,feel squarespace seem want give either
1,atty ronnie geron posted news isabela raid pgma wall
1,love rose crashedd stressed
0,cannot store ready hubby
1,funny night absolutely nothing another night many good show cannot stay channel
1,viewed channel ready seriously cool check
0,throat sore almost outta coke
1,thanks deidre really enjoyed speaking
1,true blood king else many amazing show alright back
0,heard heart shatter hurt
1,time spend time rest family mani pedi morning family picnic tonight
0,even within reasonable driving distance closest imax theater sort know
1,finally mastered alright uploading photo said twitter longer assume heffer
0,miss sitting next church great time alright ready
1,follower using everyone alright train
0,nope went home feel leaving office stupid head cold
0,damn internet laptop complication surgery interview tomorrow
0,watching diner drive dive alright showcasing diner quaint little island dive closed
1,time dash grocery store thing marinade chicken
0,tonight partner crime gots work tonight
1,same month half together shall
0,boored summer torturing much bday morrow
1,take muscle smile muscle frown ready
1,retrograde alright song like
0,ing loud babe wink heard twitter deck chance using cannot seem install
1,really like exactly need compare garmin site though
0,nausious feel sick dizzy
0,understand pain part life long time hope feel better soon
0,alright point well nothing
1,heyy looking like june
1,feeling lazy ready probably lack sleep watching cloud drifting thought looked like elephant holding balloon
0,tired drama weird could care tyler brandon alright still ing loud miss boyfriend
0,missed reply space comment went ddaavveexx
1,good morning twitter good afternoon
1,make feel better still started want actually sleep tonight
0,tonsilitis suck still away work straight face
1,watching jenson button another step closer world champion
1,morning everyone diversitiy britain talent yippee going dance queen alright good
0,brand baby nephew neonatal intensive care pneumonia hope okey
0,prayer alright farrah fawcett family hope feeling pain
1,cannot wait lady tomorrow goodbye paris
1,preparing coming week full casting running timing shooting drinking craziness life
0,walked washing machine chill time sore throat though
0,forgetting alright alright sign best idea hate monday
1,good morning helmut espresso enlongee please
1,cannot anything twitter went right would ing loud
1,wake early time summer
0,scavenger hunt name missing
1,fantastic morning probably best ever since group
1,need finish running family tomorrow nine morning page ing loud eightyseven year
1,also getting caught mother invention quick thinking offer plausible excuse hour gyan
1,positive demi trace alright dating
1,think alright cool loved time alright life
1,morning david safe journey enjoy alright time state
1,moving sale continuing ready everything
0,realize selena come know demi happy come look
0,sore throat feel good hope ruin
0,woke realizing eaten slice toast since saturday cure toast sleep help nerve
0,hair check fathersday prezzie check spray still booked
0,make sure swimmies know float would could come work lung filled
1,cool sure drop alright going kiss
0,hope angel feel better sorry thru soon everything better love
0,bummed going able pensive tonight
0,good totally forgot jean baptiste yesterday sorry dweebster
1,miley give shoutout please
1,good sexy comment made loud hysterical also strange compliment
1,okey replace carpet room floorboard plan next week
0,felt like inside oven ready jubail east saudi arabia
1,enough cover burial totally ready cannibal need
0,summer break vacation time anywhere buaa work work work
0,wish could great time monday
0,said cheating offended repeatedly saying
0,able make hometown show tour thinking tomorrow wishing
0,damn cloud alright going away sure
0,long weekend begin shining happy exam soon
0,watching spongebob playing phone really good mood
0,happened supporting moon opening night torn tetro moon
0,know enough think need bottle tareied failed alright local
1,good abel plan route
0,darn missed live twip video stream going future
0,accidentally cleared memory card photo work frame took home
1,gosh hafd best time tonight going miss megan troutman love
1,prepare upon sight goddess gwen hair clothes sawoon since grade
0,someone please bring pack bull feel like going work
0,said miss water said meant miss tubig straight face
0,sitting floyd memorial want also mark calendar appreciation chick filum
1,started good moring looking forward long church
1,finally miami weather beautiful love
1,going fetish prom party girl
0,awwh feel dirty followed amateur armando damn fake
1,told everyoneyou joining party said okey
0,cannot wait espn tonight suck
1,glad cleaned bathroom derves shopping
0,goin sleeping beacose tomorrow sport
0,love giveaway never ing loud
1,ing loud thanks anwer draw picture destroying world
1,cleared monstrous weekend workload starting monstrous weekday workload anything else rather
0,seriously considering going alright direction however figure living situation since poor jobless
1,still working still louis trust dark side cooky wink
1,miss young good morning
1,believe alright oldest tweet bronzed shipped smithsonian word idea
1,nope noise like soft sweet bird like twill
1,thanks went well think good experience nonetheless
1,tomm game losing streak straight
0,hear cleaned yesterday ready laundry laundry never
1,know right seen twitterific though find interface nice
1,people life jonas requested ing loud
1,moving good pace queen real deal
0,early working sleeping working till tomorrow
1,preordered sims picking tomorrow morning
1,ready house work germany rain
1,real estate social medium evangelist mentor
0,construction every single week including weekend sleep gone
1,watched night museum battle smithsonian awesome hilarious movie gnight world workout unsure
1,storytelling important thing force learn site
0,boring hate mall anything
1,want thanks friend accompaning awhile thanks
1,ing loud birthday list alright
0,tita list know want temperance people
0,still work reformat sweet backing backup last night never loaded data
1,think earlier alright lucky chinhands eyelash
0,finished soup made brew almost time start work
1,kind awesome come next time
0,sorry cannot find funny nice movie funny everyone think missing
0,goin onsale hols alright
1,septum piercing hurt ing loud teary
0,picking much glorious evening
1,alright brother sister ready hoping soon time every week
0,another semi annual sale another bill swore would stuck next time last time
0,really miss satan kitty
0,stressed beyond explanation hoping going alright trying chill going watch sunshine cleaning
0,piece crap migraine coming needed
0,neck hurt stupid sleeping postions
0,wanting play runescape cannot school computer
1,signed twice monster tweet saturday vega
1,take alright feeling better ing loud alright bomb chicken good
1,cleaned room uploaded last assessment exam conference away graduation laundry rahels
1,performed shark club drivn brother leejs krib performance buccneess
0,attitude never unemployed validate alright input subverted hope code
1,girl work hope slammer moldovan want hear detail
1,come else know well pursuing shit
1,compliment nybdy start ther company provided person work atleast year
0,gettin trying never happens wink watching
1,find amazing always stay good mood festive good bless
1,thanks good scum sucking backstabbing road alright
0,lost found shattuck betw king pablo
0,phone updated cannot activate itunes store activation connection time error
0,happy right soon covered scar
0,thanks amanda emily reject creeper behind scaryy
1,okey want know name
1,eminem kiss really till collapse current favorite song criminal
1,jacoby long cannot wait sunday
1,monday monday sunny outside office check
1,waiting shoot whoever house paintball
0,midnight shower ready front computer
0,right lemme find video gurll
1,also travel backpacking hope enjoy video
0,good cannot wait back escape parent
1,cannot work write preece feeling much better thankyou quite coughy still
1,last night blast never thought would something like parade humiliating awesome
0,babysitting afternoon going long night wing tiger
1,world tour ticket camee
1,celtic getting beat bull home court bummer wish made playoff jazz
0,read wikipedia article ingmar bergman story
0,word logo poor dana shaved head might little heavy right
0,outsidee wish friend swimming pool
0,computer died fuck even updated ipod
0,last okinawa trying figure accomplish thing want wonderful country
0,proud work early best
1,near subway station druzhby narodiv forgot name ing loud
0,excited going tonight bummed designated driver drinking angie
1,getting ready answer email wish starbucks open late
0,feel well semi feel like anxiety attack help
1,casual browse thru paper worried quals haveatit bugger cannot hurt wink
1,like taurus like kind stuff
0,want surprise carla know scared natalie need surprise visit soon teehee
0,school lunch chelsea going graduation going miss senior
0,home singed school play regretting sing hard song part
1,scratchedd scratched picked broad daylight scratched
0,still weed feel guilty association
0,still shakin shootin street last night need drink
0,nope working hand friday
1,finishing judging olimpiadele comunicarii kill
1,coffee plus empire strike back equal amazing
1,well ready work presentation morning workaholic afternoon ready anything huzzah
1,game tennis dean must tennis raquets next
0,need ipod room anymore music
1,thanks ellen rough going stay inside ready hehe
0,done first exam next anatomy memorize
0,loss eclair alright half done cream photoshop expired movie alright boring internet boring
0,going people need sleep biology test tomorrow love goodnight twitter kiss
1,woke thanks would fired
1,lesson learn scared cannot accept expect others accept
1,music fair session august hopefully
1,lazy tweet cute photo burn
0,good best wrkout tired could even wash bright bushy tail hair
0,fell gave chin check speed walking office totally tried cool break fall fail
0,lost please help find good home
1,heard came back back cannes resse
0,never long enough though
1,jesus pray alright joking alright honestly scaring shit
0,head hurt want dress like wendy concert peter
1,going time best song going loving good night twitter embarrassed
0,many hour left workday
1,huggles back nice know slept tablet good continue
1,back friday afternoon leaving club lavo cinqo mayo
0,going brunswick canada drive ing loud live away
1,video srsly thai pantene commercial shine
0,cannot sleep nabila sadhe sleep know
1,okey enought twitter going play boom blox
1,love johnny deep look public enemy catch film show
0,home bathroom floor chill side head toilet pathetic hate ready
1,mozart actually heard music really good helping study hungry might give upto much ready
1,lindsey banana spilt eating
1,cool idea know nerd physical activity thing match well
1,watching footyy crow ing loud
1,alright going barbeque tonight love
1,shaddapp good shit anyway shall talk soon ciaoo
1,call duty gamer domness
1,hangin alright boyfriend tonight
0,working want home family
0,okey little tiny weeny peeny zeeny beeny
1,playing plant zombie addicting
0,found lowe fact twitter
0,good except little fact cannot form caffeine really chocolate
1,good luck amazing teacher
1,night good luck tomorrow dude knock dead
0,excited wake friday thursday disappointing
0,think direct message alright failing notification twihrl client check gone check twitter gone
1,totally understand year never even went looking found
0,moscone center skate stoppers curb
0,usually live orange sick worked lately cannot wait till america summer
0,jealous wish tour coming york city tour manager decided biggest city east good enough
1,sniffling coughing sick sick want better
0,cannot zune work upset
1,going working tonight least hear
1,thanks shout sure stop dinner drink good time
0,still taking twitter break really saturday class real time
0,taking break minute though
1,boyfrand scratched back itchyz
0,taking care sick daughter
0,home would nice expect weather crap unpack
0,called call person could issue awake ever since alarm hour
1,good morning however night time great
1,sure fine worry cross finger
1,hoped shidd saved caleb twitter
0,last couple better though
1,wait know word tweet mean separately arranged thusly context
1,makin chocolate chip muffin sometimes gosh dark domestic hurt
1,hungry pretty damn good watch
0,tired sleep school tomorrow chance watch stripped pajammas dissapointed good night world
1,prepare first europe trip
0,seems like soon take step forward life shove step back
1,lady cleaning table time grab coffee
0,tryin every avenue networking miss
1,thousand buck spend carelessly special thousand buck give idea
0,lonely night owen hotel
1,perfect story weak enjoyed hell
1,found song like husband sing wedding forever
0,hadda tell early stage kidney failure headed dialysis sometimes harder others
1,working alright morning reply arrow
1,alright welcome thanks taking time write
0,every showing except mishas voting misha spirit working
1,people vulgar whatever relieving stress
1,weakness fave twitter peep rock
1,alright seeing jones ready justine
1,jsem tech dostal taky takovy ktery work
0,panda finger crossed soon
0,wonder still sleepy even hour
1,gossip girl season foreverr wink
0,good know feeling cannot stand getting london harold wood
0,home seeing sucha little movie really funny
1,kolei google raksta inform cija weasel word avoid much possible
1,seeing tonight want dinner something treat
1,great wake late think going drop college
0,sweet adorable cannot thoughtful
0,wish could husband shaking head
0,cannot believe alright london stupid living scotland money london tareip
1,favorite espn writer celtic want read column
0,miss bird hope alright coconut sandy
0,hungry soon audition alright hitting bangkok cafe
0,achey least bedroom clean
0,still sick ubber gaay
0,could come round miss yuuhh
1,waking early study catching friend since everyone online good though
0,lady gave recipe facial direction chinese
0,catching overflowing office inbox
1,poor bradie accident ing loud andy probs funny
0,definetaly going work tomorrow work srsc open till weekend
0,late cannot sleep work
0,okey happen like enterprise except whole xindi storyline
1,time management research thing speaking others experience
0,gahh remembered charity elizabeth house work tomorrow cool
0,thought unfair depressed hater
1,sure great stuff think held swung fence
0,really want transformer want though
1,disnleyland happiest place world grad trip suck cock well maybe magic mountain small world ride
0,jammin lady gaga album trying think japan
0,feel like crucial part night missing
1,hopefully alright wise enough learn mistake
0,tuner think carbon fiber painted ing loud insight back style
1,mickeyd offcourse royal menu nugget fresh cheese
1,early morning shower stuff ready excited
1,take many picture food ing loud
0,last lazy morning jillian
0,eating mcdonald thing solidarity friend
1,getting cancer walk love helping people
0,spikey dikey last friday night burg alright coldstone become glutins together last time
0,party poop last friday
0,magda yesterday year really nice friendly girl really strange little loco
0,worried time real prob tomarrow hope nora would
0,invited already mother chucker migraine
1,nice twittering hell arizona
0,still problem uploading profile picture twitter fail
0,know everyone lazy friday
1,oups boulette embarrassed thanks
0,made little tribute toby flickr hope alright
1,work hating even friday everyone twitter would send dollar could retire would nice
0,wishing could drive leave alright pain hurt feel behind
1,finished core synergistic rough celtic suck
1,wuvvey half week hollah
1,purab misspelled username alright reply ing loud start following happen
0,mind nephew cause cool open minded alright extended family
0,going hope enough night
1,give life saved mine
1,horace silver song father starbucks
0,little helper ready reunite soon sorry sister marcus left building ing loud
0,raining outside heavy enough cool weather boiling
1,woke something sweet love
0,diet boat wisdom teeth pulled good time hear
0,twitter like full sized
0,name danger song called good maybe inform seen
1,ever seen play movin music really good
0,olivia gone miss alreadyy trying compensate marathon hill
0,hollywood high school graduation hollywood bowl mine gymnasium
1,start sound like girlfriend ordered iphone waiting finally delivered
1,lunch done tomorrow trade show material created printed feel great adobe indesign
0,felt little earlier taken sign store making
1,live wordcamp want next year mute
1,swear good cure apathy
1,problem actually like care enough reading tweet know
0,rippin thru practice question today exam well
1,thanks alright rolling store site first
0,sorry hear sent condolence
0,prossecco acidic find lack body know
1,getting ready datenight cheyne anniversary
1,much happened last couple feel good though
0,boyfriend broken badly mentally
1,credit assignment since nearly going based idea
0,head hurt joes fault wanker ghgo kujhvc
1,read friend twit okey reference dream
0,well even around even weekend
0,omgsh lena freaking aaron resonate phone text
0,love subway good teasing live huckville city
1,enjoying quiet sunday evening great weekend week school left ready summer time schedule
1,wish entailed flying around different country cannot wait home though
1,finished nightly convo court love
1,good night text need
1,cute land come home ing loud
0,daayum look like hurt know
0,good really know harry izzy alright still going heard broke
1,kind ridiculously excited wearing shoe ready
0,feeling need starbucks join coffee trip
0,workshop canceled sure still website
1,good nothing wrong sunday
1,twitter head sleep good niqht
1,chicken sandwich lucozade help recover
0,doctor getting shot work work gruesome hour hopefully speed fast
1,maybe tooth shaped postits sure
1,worryjust making lame joke
1,sure whatever work accurate
0,know wanting figure whole twitpic thing recent picture took getting though
0,might remind everyone much despise hospital
1,bryant paul research mesearch
0,cannot north korea mind damn business ready world
1,like horrible sleep habit manage often
1,alright concert manila great
0,pooh vernon watching benidorm could life anymore exciting ing loud still take walk
0,work saturday night need come waterloo soon toronto driving insane
1,made mistake still managed though maybe think
0,come cannot ing loud
0,cannot believe freshman year already time fast
0,afternoon twitter people woke cause night still sore infection sympathieze
1,want nail painted black want cracker jack need feel fire
0,trying sigh ifeel like want
1,suree wish ing loud like better camilla belle
1,thanks sandford roscoe phonetics dropping studio playing phat tune also people
1,know much mean ing loud thanks much kitty
0,little dancing standing walking foot hurt badly almost pothole
0,feel like shit want spend birthday
0,looking like released pmish probably evening
1,play went well yesterday great comment song
1,coming stepping real hande bedroom
0,want guitar someone gift
1,glad alright feeling better love enjoy amazing weather teasing
1,okey everyone back twitter kicked multiple time happy think
1,finished writing something tiny titan sleep hopefully seymore behave
0,please give harlem globetrotter show
0,wait rock werchter muse marilyn manson unfortunately
0,oldest going year week grow fast
1,lmfao weird name kinda
1,love alright outlook ready beautiful outside
1,alright telling submitted film wink well sheesh small world
1,good luck thursday davina welcome
0,suck life back canadialand
1,show level disrespect show since networked currently acknowledge impact
1,tevez amazing player think would want liverpool
1,askk hoop yoyo fortune teller true ing loud
1,ing loud okey alright
1,watching gone earlier know cannot wrong
0,apple took link allowed access movie section mobile itunes wanted look
0,hate weekday boring much planed weekend
0,hope bridesmaid dress pant alright feeling little tight
0,know never know though alright talking hyper
1,list elysium friday need plus bring mika
0,people bringing casket church
1,tony hawk ride wear helmet inside house play
0,alright going early full miami
1,agree tonight love shopping
0,ing loud like ready ing loud
1,always know thing tweet thanks twitter friend
0,michigan really suck unemployment detroit area live lose home
0,leaving graduation going miss going weird next year without
0,link work come password protected admin page
0,jared mary change color
1,spending time affirm love good thing invite mine watch dress tonight
0,coming year waiting damned please forget good luck latin american tour love
0,happy want join drama practice ready
1,yaampun gapapa kali take easy overreacting hehehe
0,poor babylove told yesterday alright cootie havin self feel better
0,david archuleta following ing loud
1,back diving pool session exhausted going catch wink
0,bored chem super hungry
1,thanks feel alright back hope hurt much
